,ISBN,mean
102530,0440445426,10.0
102548,044045459X,10.0
340496,PS35730526B6,10.0
340506,SBN67001026X,10.0
102621,044047731X,10.0
102622,0440477903,10.0
102634,0440482038,10.0
102670,0440491835,10.0
102433,0440418666,10.0
102404,0440417120,10.0
102762,0440504295,10.0
102774,0440504813,10.0
102776,0440504856,10.0
102389,0440416582,10.0
102801,0440506123,10.0
102828,0440507170,10.0
102850,0440508142,10.0
54,0.380.50377.8,10.0
340469,O895771594,10.0
340476,O96815005550,10.0
102874,0440508754,10.0
102876,0440508827,10.0
102884,0440509122,10.0
102944,0440585031,10.0
102945,0440585732,10.0
102318,0440413834,10.0
103046,0440803039,10.0
103050,0440803322,10.0
103055,0440824524,10.0
102306,0440413508,10.0
103130,0440843766,10.0
103160,0440846536,10.0
103169,044084746X,10.0
103185,0440849284,10.0
102272,0440412471,10.0
103187,0440849446,10.0
340461,O8495712555,10.0
52,0.330241664,10.0
53,0.380.44099.7,10.0
103210,0440863678,10.0
103232,0440900190,10.0
103237,0440900581,10.0
103362,0440933943,10.0
103412,044095017,10.0
103437,0440967694..3,10.0
103493,0440984653,10.0
103505,0440987611,10.0
103551,0441000614,10.0
103594,044100186,10.0
340450,O812543262,10.0
67,0000000000090,10.0
103606,0441002110,10.0
103670,0441003605,10.0
103691,0441004091,10.0
103895,0441007651,10.0
104031,044100993X,10.0
104065,0441010598,10.0
104066,0441010601,10.0
104077,044101092X,10.0
104079,0441010946,10.0
104087,044101108X,10.0
104100,0441011322,10.0
104103,0441011365,10.0
104110,0441011586,10.0
104126,044101187X,10.0
100,00006374921,10.0
109,0001016237,10.0
340444,O786011041,10.0
104129,0441011985,10.0
104130,0441011993,10.0
104131,0441012159,10.0
104149,0441023827,10.0
101981,0440401925,10.0
104315,0441117112,10.0
104382,0441166091,10.0
104436,0441218903,10.0
104477,0441246230,10.0
104566,0441343457,10.0
104591,0441371574,10.0
101892,0440385814,10.0
104619,044143536X,10.0
340429,O722534876,10.0
101875,044036499X,10.0
104680,0441495478,10.0
104716,044151944X,10.0
104823,0441652336,10.0
104856,0441679285,10.0
104873,044170283X,10.0
101811,044031488,10.0
104972,0441768377,10.0
105079,0441795919,10.0
105109,0441805965,10.0
105248,0441911757,10.0
101736,0440241723,10.0
105274,044207757,10.0
105290,0442228112,10.0
105291,0442228198,10.0
105292,0442228546,10.0
105297,0442240449,10.0
105312,0442254288,10.0
105345,0443041881,10.0
105346,0443045607,10.0
132,000105337X,10.0
145,0001360469,10.0
105348,0443059748,10.0
105355,04441172717,10.0
105358,0444611085,10.0
105361,0445.25321222,10.0
101708,0440238609,10.0
105382,0445040416,10.0
101694,0440237653,10.0
105448,0445083867,10.0
105500,0445202181,10.0
105541,0445205164,10.0
148,0001374869,10.0
340376,O450045528,10.0
340381,O452281903,10.0
105561,0445206608,10.0
105568,0445207108,10.0
105822,0446306266,10.0
105838,0446307831,10.0
105868,0446310085,10.0
105880,044631078,10.0
105882,0446310786004,10.0
105900,0446311901,10.0
105908,0446312703,10.0
105944,0446314463,10.0
106224,0446346748,10.0
106265,0446349569,10.0
340350,O425189848,10.0
173,0001821326,10.0
106278,0446350907,10.0
106294,0446351962,10.0
106537,0446362379,10.0
106657,044636538,10.0
101473,0440229405,10.0
106708,0446382957,10.0
106715,0446384038,10.0
101429,04402281660,10.0
101431,0440228204,10.0
106725,0446385905,10.0
106734,0446386766,10.0
106735,0446386898,10.0
101424,0440228115,10.0
106803,0446392707,10.0
101398,0440227623,10.0
340319,O380782332,10.0
183,0001845039,10.0
193,0001857258,10.0
106849,0446395382,10.0
107031,0446500119,10.0
107045,0446512478,10.0
107099,0446513857,10.0
107102,044651389X,10.0
107127,0446514802,10.0
107173,0446515892,10.0
107242,0446517283,10.0
107285,0446518123,10.0
107360,0446519979,10.0
107365,0446520268,10.0
107414,0446521515,10.0
107428,044652231,10.0
